scRNA_guide_name,count_D0_original,count_D0_repA,count_D0_repB,count_D7_original,scRNA_count,count_D0_mean,is_NC,target_gene,category_D7,category_scRNA
AATF_-_35306286.23-P1P2-1,0.0,0.0,14.456361304946823,0.0,0.0,7.228180652473411,False,AATF,none,none
AATF_-_35306286.23-P1P2-2,0.0,0.0,0.0,0.0,0.0,0.0,False,AATF,none,none
AATF_-_35306333.23-P1P2-1,0.0,0.0,3.6140903262367057,0.0,0.0,1.8070451631183528,False,AATF,none,none
AATF_-_35306333.23-P1P2-2,0.0,27.396145127556455,18.070451631183527,13.195040512073133,0.0,22.73329837936999,False,AATF,none,deplete
AATF_-_35306351.23-P1P2-1,0.0,7.8274700364447005,2.4093935508244706,0.0,0.0,5.118431793634586,False,AATF,none,none
AATF_-_35306351.23-P1P2-2,0.0,0.0,0.0,0.0,0.0,0.0,False,AATF,none,none
ADNP2_-_77867536.23-P1P2-1,55.014296381819754,56.09686859452035,28.912722609893645,14.844420576082273,48.189594874327916,42.504795602207,False,ADNP2,none,none
ADNP2_-_77867536.23-P1P2-2,58.68191614060774,173.50891914119086,144.56361304946822,192.97746748906957,287.720228220252,159.03626609532955,False,ADNP2,none,none
ADNP2_-_77867648.23-P1P2-1,0.0,9.13204837585215,2.4093935508244706,3.298760128018283,0.0,5.77072096333831,False,ADNP2,none,none
ADNP2_-_77867648.23-P1P2-2,14.670479035151935,69.14265198859485,37.34560003777929,42.88388166423768,52.4416179514745,53.24412601318707,False,ADNP2,none,none
ADNP2_-_77867672.23-P1P2-1,0.0,11.741205054667052,2.4093935508244706,9.89628038405485,0.0,7.075299302745761,False,ADNP2,none,none
ADNP2_-_77867672.23-P1P2-2,0.0,15.654940072889401,14.456361304946823,4.948140192027425,0.0,15.055650688918112,False,ADNP2,none,none
ADNP_+_49547361.23-P1P2-1,0.0,6.522891697037251,7.228180652473411,18.14318070410056,0.0,6.8755361747553305,False,ADNP,none,none
ADNP_+_49547361.23-P1P2-2,69.68477541697169,22.17783176992665,10.842270978710117,11.545660448063991,0.0,16.510051374318383,False,ADNP,none,none
ADNP_-_49547603.23-P1P2-1,40.34381734666782,33.9190368245937,13.251664529534587,1.6493800640091416,0.0,23.58535067706414,False,ADNP,deplete,deplete
ADNP_-_49547603.23-P1P2-2,0.0,113.75923119632965,55.416051668962815,46.182641792255964,42.520230771465805,84.58764143264624,False,ADNP,none,none
ADNP_-_49547651.23-P1P2-1,25.673338311515888,28.7007234669639,25.298632283656936,37.93574147221025,0.0,26.999677875310418,False,ADNP,none,deplete
ADNP_-_49547651.23-P1P2-2,29.34095807030387,16.95951841229685,16.865754855771293,29.688841152164546,0.0,16.912636634034072,False,ADNP,none,none
AEBP1_+_44143999.23-P1P2-1,0.0,108.28000217081836,95.17104525756658,128.65164499271305,138.19075000726386,101.72552371419246,False,AEBP1,none,none
AEBP1_+_44143999.23-P1P2-2,173.11165261479283,83.4930137220768,126.4931614182847,89.06652345649364,39.68554872003475,104.99308757018075,False,AEBP1,none,none
AEBP1_+_44144090.23-P1P2-1,33.008577829091855,75.6655436856321,65.05362587226071,49.481401920274244,0.0,70.35958477894641,False,AEBP1,none,deplete
AEBP1_+_44144090.23-P1P2-2,0.0,22.17783176992665,14.456361304946823,16.493800640091415,0.0,18.317096537436736,False,AEBP1,none,none
AEBP1_+_44144108.23-P1P2-1,0.0,49.5739768974831,22.889238732832467,8.246900320045707,0.0,36.23160781515779,False,AEBP1,deplete,deplete
AEBP1_+_44144108.23-P1P2-2,0.0,13.045783394074501,27.708025834481408,13.195040512073133,72.28439231149187,20.376904614277954,False,AEBP1,none,none
AEBP2_-_19592590.23-P1P2-1,0.0,3.9137350182223503,7.228180652473411,19.7925607681097,0.0,5.570957835347881,False,AEBP2,none,none
AEBP2_-_19592590.23-P1P2-2,69.68477541697169,26.091566788149002,33.731509711542586,56.40879818911264,63.07167564434095,29.911538249845794,False,AEBP2,none,none
AEBP2_+_19592640.23-P1P2-1,44.011437105455805,30.005301806371353,28.912722609893645,16.493800640091415,11.338728205724214,29.4590122081325,False,AEBP2,none,none
AEBP2_+_19592640.23-P1P2-2,77.75353888630525,15.654940072889401,7.228180652473411,37.93574147221025,7.795375641435398,11.441560362681406,False,AEBP2,none,none
AEBP2_+_19592658.23-P1P2-1,0.0,1.30457833940745,3.6140903262367057,18.14318070410056,0.0,2.4593343328220776,False,AEBP2,none,none
AEBP2_+_19592658.23-P1P2-2,231.06004480364297,6.522891697037251,10.842270978710117,39.5851215362194,7.795375641435398,8.682581337873684,False,AEBP2,none,none
AFF1_+_87856192.23-P1P2-1,190.71622745697516,238.99875177944486,297.5601035268221,234.2119690892981,406.0682038674984,268.2794276531335,False,AFF1,none,none
AFF1_+_87856192.23-P1P2-2,84.35525445212363,54.79229025511291,63.848929096848465,80.81962313644793,75.11907436292292,59.32060967598069,False,AFF1,none,none
AFF1_+_87856246.23-P1P2-1,205.3867064921271,161.7677140865238,107.21801301168894,202.87374787312442,129.6867038529707,134.49286354910637,False,AFF1,none,none
AFF1_+_87856246.23-P1P2-2,308.08005973819064,133.0669906195599,93.96634848215434,163.28862633690503,189.9236974458806,113.51666955085713,False,AFF1,none,none
AFF1_-_87856378.23-P1P2-1,0.0,13.045783394074501,18.070451631183527,19.7925607681097,0.0,15.558117512629014,False,AFF1,none,none
AFF1_-_87856378.23-P1P2-2,0.0,40.44192852163095,47.946931661406964,44.53326172824682,93.54450769722477,44.19443009151895,False,AFF1,none,none
AFF2_+_147582328.23-P1P2-1,25.673338311515888,163.07229242593127,132.51664529534585,113.80722441663076,255.8300551416526,147.79446886063857,False,AFF2,none,none
AFF2_+_147582328.23-P1P2-2,0.0,61.57609762003164,49.39256779190164,120.40474467266733,110.5526000058111,55.48433270596664,False,AFF2,none,none
AFF2_-_147582385.23-P1P2-1,29.34095807030387,60.010603612742706,53.00665811813835,36.28636140820112,113.38728205724215,56.50863086544052,False,AFF2,none,none
AFF2_-_147582385.23-P1P2-2,91.69049396969959,40.44192852163095,62.64423232143622,148.44420576082274,78.66242692721174,51.54308042153359,False,AFF2,none,none
AFF2_+_147582601.23-P1P2-1,0.0,23.482410109334104,15.661058080359055,8.246900320045707,0.0,19.57173409484658,False,AFF2,none,none
AFF2_+_147582601.23-P1P2-2,22.005718552727902,24.78698844874155,42.164387139428236,1.6493800640091416,55.984970515763315,33.47568779408489,False,AFF2,deplete,none
AFF3_-_100758841.23-P1P2-1,176.04574842182322,104.36626715259601,66.25832264767293,59.37768230432909,121.18265769867754,85.31229490013448,False,AFF3,none,none
AFF3_-_100758841.23-P1P2-2,165.04288914545924,39.13735018222351,54.211354893550585,56.07892217631081,41.10288974575028,46.674352537887046,False,AFF3,none,none
AFF3_-_100758884.23-P1P2-1,154.77355382085292,54.79229025511291,61.439535546024,79.1702430724388,50.315606412901204,58.11591290056845,False,AFF3,none,none
AFF3_-_100758884.23-P1P2-2,40.34381734666782,62.619760291557604,74.69120007555858,54.42954211230167,52.4416179514745,68.6554801835581,False,AFF3,none,none
AFF3_+_100758974.23-P1P2-1,51.346676623031776,36.5281935034086,87.94286460509318,8.246900320045707,114.09595257009993,62.23552905425089,False,AFF3,deplete,none
AFF3_+_100758974.23-P1P2-2,121.03145204000347,36.5281935034086,50.59726456731387,44.53326172824682,26.92947948859501,43.56272903536124,False,AFF3,none,none
AFF4_-_132299252.23-P1P2-1,58.68191614060774,70.4472303280023,53.00665811813835,37.93574147221025,59.528323080052125,61.726944223070326,False,AFF4,none,none
AFF4_-_132299252.23-P1P2-2,398.30350580437505,139.58988231659717,136.13073562158257,98.96280384054849,82.91445000435832,137.86030896908989,False,AFF4,none,none
AFF4_-_132299279.23-P1P2-1,80.68763469333564,210.03711264459946,199.97966471843105,90.71590352050279,367.09132566032144,205.00838868151527,False,AFF4,none,none
AFF4_-_132299279.23-P1P2-2,3.6676197587879837,58.70602527333526,44.5737806902527,54.42954211230167,58.81965256719437,51.63990298179398,False,AFF4,none,none
AFF4_-_132299282.23-P1P2-1,110.02859276363951,191.77301589289516,109.6274065625134,102.26156396856676,165.1202294958589,150.70021122770427,False,AFF4,none,none
AFF4_-_132299282.23-P1P2-2,345.48978127782806,205.34063062273265,183.11390986265974,214.4194083211884,272.1294769373812,194.2272702426962,False,AFF4,none,none
AHCTF1_-_247095134.23-P1P2-1,0.0,13.045783394074501,10.842270978710117,13.195040512073133,7.086705128577634,11.944027186392308,False,AHCTF1,none,none
AHCTF1_-_247095134.23-P1P2-2,95.35811372848758,26.091566788149002,33.731509711542586,36.28636140820112,31.181502565741592,29.911538249845794,False,AHCTF1,none,none
AHCTF1_+_247095176.23-P1P2-1,0.0,0.0,10.842270978710117,0.0,7.795375641435398,5.421135489355058,False,AHCTF1,none,none
AHCTF1_+_247095176.23-P1P2-2,55.014296381819754,15.654940072889401,26.503329059069173,11.545660448063991,17.71676282144409,21.079134565979288,False,AHCTF1,none,none
AHCTF1_+_247095215.23-P1P2-1,0.0,0.0,2.4093935508244706,0.0,0.0,1.2046967754122353,False,AHCTF1,none,none
AHCTF1_+_247095215.23-P1P2-2,0.0,5.2183133576298,6.023483877061176,11.545660448063991,0.0,5.620898617345488,False,AHCTF1,none,none
AHCY_-_32890731.23-P1P2-1,88.02287421091161,182.640967517043,175.88572921018635,166.5873864649233,298.3502859131184,179.26334836361468,False,AHCY,none,none
AHCY_-_32890731.23-P1P2-2,95.35811372848758,19.568675091111754,14.456361304946823,6.597520256036566,7.795375641435398,17.012518198029287,False,AHCY,none,none
AHCY_-_32891095.23-P1P2-1,58.68191614060774,73.0563870068172,97.58043880839105,79.1702430724388,107.71791795438004,85.31841290760413,False,AHCY,none,none
AHCY_-_32891095.23-P1P2-2,0.0,56.09686859452035,57.82544521978729,36.28636140820112,101.33988333866019,56.96115690715382,False,AHCY,none,none
AHCY_-_32891145.23-P1P2-1,121.03145204000347,61.315181952150155,55.416051668962815,44.53326172824682,72.99306282434964,58.36561681055649,False,AHCY,none,none
AHCY_-_32891145.23-P1P2-2,77.02001493454766,82.71026671843234,155.40588402817832,79.1702430724388,180.7109807787297,119.05807537330533,False,AHCY,none,none
AHDC1_+_27930650.23-P1P2-1,0.0,37.83277184281605,32.526812936130355,23.091320896127982,23.386126924306193,35.17979238947321,False,AHDC1,none,none
AHDC1_+_27930650.23-P1P2-2,44.011437105455805,50.878555236890556,33.731509711542586,29.688841152164546,29.764161540026063,42.305032474216574,False,AHDC1,none,none
AHDC1_+_27930669.23-P1P2-1,33.008577829091855,76.97012202503956,50.59726456731387,59.37768230432909,99.21387180008689,63.783693296176715,False,AHDC1,none,none
AHDC1_+_27930669.23-P1P2-2,88.02287421091161,36.5281935034086,46.98317424107717,44.53326172824682,0.0,41.755683872242884,False,AHDC1,none,deplete
