,index,expression_mean,expression_median,target_gene,expression_mean_norm,expression_mean_log10
92,CHAMP1_P1P2,2.1613154,0.0,CHAMP1,0.09605729,0.33471817
93,non-targeting,134.20059,0.0,CHD7,1.0,2.1277547
94,Element1201,136.1015,0.0,CHD7,1.0141647,2.1338632
95,Element1202,149.46335,0.0,CHD7,1.1137309,2.1745348
96,Element1203,135.74745,0.0,CHD7,1.0115265,2.132732
97,Element1204,130.79182,0.0,CHD7,0.9745995,2.1165807
98,Element1205,143.16212,0.0,CHD7,1.0667771,2.1558282
99,Element1206,138.844,0.0,CHD7,1.0346005,2.1425273
100,Element1207,127.927635,0.0,CHD7,0.95325685,2.1069646
101,Element1208,133.259,0.0,CHD7,0.9929837,2.1246967
102,Element1209,126.131165,0.0,CHD7,0.9398704,2.1008227
103,Element1210,132.5475,0.0,CHD7,0.9876819,2.1223717
104,Element1211,131.46867,0.0,CHD7,0.97964305,2.1188226
105,OR10H2,146.8659,0.0,CHD7,1.094376,2.1669211
106,OR10K1,135.142,0.0,CHD7,1.0070149,2.1307905
107,OR10V1,139.21466,0.0,CHD7,1.0373625,2.143685
108,OR14J1,134.625,0.0,CHD7,1.0031625,2.1291258
109,OR2A2,135.36002,0.0,CHD7,1.0086395,2.1314905
110,CHD7_P1P2,121.412,0.0,CHD7,0.9047054,2.084262
111,non-targeting,369.93787,307.03104,CNBP,1.0,2.5681288
112,Element919,361.80344,297.61905,CNBP,0.97801137,2.5584729
113,Element920,369.02002,300.21008,CNBP,0.9975189,2.56705
114,Element921,350.37646,285.1847,CNBP,0.94712245,2.5445352
115,Element922,374.12598,317.40997,CNBP,1.0113211,2.573018
116,Element923,343.0668,277.1619,CNBP,0.92736334,2.5353787
117,Element924,369.49442,304.971,CNBP,0.9988013,2.5676079
118,Element925,132.64426,0.0,CNBP,0.3585582,2.1226885
119,Element926,369.51508,299.40118,CNBP,0.99885714,2.5676322
120,Element927,358.54556,280.66235,CNBP,0.96920484,2.5545444
121,Element928,364.71472,295.37732,CNBP,0.98588103,2.5619533
122,Element929,363.55237,298.0626,CNBP,0.982739,2.5605671
123,Element930,352.32758,290.95203,CNBP,0.95239663,2.5469468
124,Element931,369.0277,302.20618,CNBP,0.9975397,2.567059
125,OR10H2,368.8044,307.1087,CNBP,0.9969361,2.5667963
126,OR10K1,365.9498,298.77515,CNBP,0.9892196,2.5634217
127,OR10V1,365.75058,304.69223,CNBP,0.98868114,2.5631852
128,OR14J1,345.81635,280.1121,CNBP,0.93479574,2.5388455
129,OR2A2,382.47134,321.85385,CNBP,1.03388,2.582599
130,CNBP_P1P2,98.03754,0.0,CNBP,0.2650108,1.9913926
131,non-targeting,91.64902,0.0,CREBBP,1.0,1.9621278
132,Element468,85.02282,0.0,CREBBP,0.9277003,1.9295355
133,Element469,88.60325,0.0,CREBBP,0.966767,1.9474497
134,Element470,86.49346,0.0,CREBBP,0.94374675,1.9369833
135,Element471,86.969,0.0,CREBBP,0.94893545,1.9393646
136,Element472,76.90361,0.0,CREBBP,0.83911,1.8859468
137,Element473,89.882034,0.0,CREBBP,0.9807201,1.9536729
138,Element474,90.15221,0.0,CREBBP,0.983668,1.9549764
139,Element475,96.88017,0.0,CREBBP,1.0570781,1.9862351
140,OR10H2,93.57156,0.0,CREBBP,1.0209773,1.971144
141,OR10K1,86.773575,0.0,CREBBP,0.9468031,1.9383875
142,OR10V1,86.16923,0.0,CREBBP,0.940209,1.9353522
143,OR14J1,109.74707,0.0,CREBBP,1.1974714,2.040393
144,OR2A2,91.37564,0.0,CREBBP,0.99701715,1.9608305
145,CREBBP_P1P2,61.05575,0.0,CREBBP,0.66619104,1.7857267
146,non-targeting,0.4745913,0.0,EOMES,1.0,-0.32368022
147,Element894,0.24179362,0.0,EOMES,0.50947756,-0.6165552
148,Element895,0.0,0.0,EOMES,0.0,-inf
149,Element896,0.0,0.0,EOMES,0.0,-inf
150,Element897,0.0,0.0,EOMES,0.0,-inf
151,Element898,0.3134097,0.0,EOMES,0.66037804,-0.5038876
152,Element899,0.61112756,0.0,EOMES,1.2876922,-0.21386814
153,Element901,0.49364853,0.0,EOMES,1.040155,-0.30658215
154,OR10H2,0.5173638,0.0,EOMES,1.0901248,-0.28620398
155,OR10K1,0.5864995,0.0,EOMES,1.2357991,-0.23173235
156,OR10V1,0.0,0.0,EOMES,0.0,-inf
157,OR14J1,0.12489407,0.0,EOMES,0.2631613,-0.9034582
158,OR2A2,0.0,0.0,EOMES,0.0,-inf
159,EOMES_P1P2,0.0,0.0,EOMES,0.0,-inf
160,non-targeting,79.72129,0.0,EP300,1.0,1.9015744
161,Element886,78.0267,0.0,EP300,0.9787436,1.8922433
162,Element887,74.40741,0.0,EP300,0.93334424,1.8716162
163,Element888,76.047966,0.0,EP300,0.9539229,1.8810877
164,Element889,84.36541,0.0,EP300,1.0582545,1.9261645
165,Element890,70.31683,0.0,EP300,0.8820333,1.8470594
166,Element891,79.82706,0.0,EP300,1.0013267,1.9021502
167,Element892,71.368,0.0,EP300,0.8952188,1.8535036
168,Element893,82.32777,0.0,EP300,1.0326948,1.9155464
169,OR10H2,82.35519,0.0,EP300,1.0330389,1.915691
170,OR10K1,83.51923,0.0,EP300,1.0476402,1.9217865
171,OR10V1,83.01936,0.0,EP300,1.04137,1.9191794
172,OR14J1,76.58045,0.0,EP300,0.9606023,1.884118
173,OR2A2,85.27747,0.0,EP300,1.0696951,1.9308344
174,EP300_P1P2,61.899567,0.0,EP300,0.7764496,1.7916876
175,non-targeting,8.931784,0.0,FOXC1,1.0,0.9509382
176,Element1031,8.852101,0.0,FOXC1,0.9910788,0.9470464
177,Element1032,9.308568,0.0,FOXC1,1.0421847,0.9688829
178,Element1033,7.109008,0.0,FOXC1,0.7959225,0.851809
179,Element1034,8.182407,0.0,FOXC1,0.9161,0.91288114
180,Element1035,4.9344354,0.0,FOXC1,0.552458,0.6932375
181,Element1036,5.5078034,0.0,FOXC1,0.61665213,0.7409785
182,Element1037,9.190927,0.0,FOXC1,1.0290135,0.9633593
183,Element1038,8.235153,0.0,FOXC1,0.9220055,0.9156717
184,Element1039,8.091998,0.0,FOXC1,0.90597785,0.9080558
185,OR10H2,9.922551,0.0,FOXC1,1.110926,0.99662334
186,OR10K1,9.073571,0.0,FOXC1,1.0158745,0.9577783
187,OR10V1,8.193086,0.0,FOXC1,0.9172956,0.9134475
188,OR14J1,5.464446,0.0,FOXC1,0.61179787,0.7375462
189,OR2A2,9.236485,0.0,FOXC1,1.0341142,0.96550673
190,FOXC1_P1P2,3.3868752,0.0,FOXC1,0.3791936,0.5297992
191,non-targeting,0.0020179152,0.0,FOXD3,1.0,-2.6950972
192,Element13,0.0,0.0,FOXD3,0.0,-inf
193,OR10H2,0.0,0.0,FOXD3,0.0,-inf
194,OR10K1,0.0,0.0,FOXD3,0.0,-inf
195,OR10V1,0.0,0.0,FOXD3,0.0,-inf
196,OR14J1,0.0,0.0,FOXD3,0.0,-inf
197,OR2A2,0.0,0.0,FOXD3,0.0,-inf
198,FOXD3_P1,0.0,0.0,FOXD3,0.0,-inf
199,non-targeting,0.0020179152,0.0,FOXD3,1.0,-2.6950972
200,Element13,0.0,0.0,FOXD3,0.0,-inf
201,OR10H2,0.0,0.0,FOXD3,0.0,-inf
202,OR10K1,0.0,0.0,FOXD3,0.0,-inf
203,OR10V1,0.0,0.0,FOXD3,0.0,-inf
204,OR14J1,0.0,0.0,FOXD3,0.0,-inf
205,OR2A2,0.0,0.0,FOXD3,0.0,-inf
206,FOXD3_P2,0.0,0.0,FOXD3,0.0,-inf
207,non-targeting,63.143333,0.0,FOXH1,1.0,1.8003275
208,Element1238,65.708755,0.0,FOXH1,1.0406286,1.8176233
209,Element1239,61.49529,0.0,FOXH1,0.97389996,1.7888418
210,Element1240,68.9947,0.0,FOXH1,1.0926679,1.8388157
211,Element1241,59.399548,0.0,FOXH1,0.9407097,1.7737832
212,Element1242,65.584,0.0,FOXH1,1.0386528,1.816798
213,Element1243,63.14704,0.0,FOXH1,1.0000588,1.800353
214,Element1244,67.65136,0.0,FOXH1,1.0713935,1.8302766
215,Element1245,63.87324,0.0,FOXH1,1.0115595,1.805319
216,Element1246,50.39702,0.0,FOXH1,0.79813683,1.7024049
217,Element1247,9.7769785,0.0,FOXH1,0.15483786,0.9902047
218,Element1248,15.629938,0.0,FOXH1,0.24753109,1.1939573
219,Element1249,35.26103,0.0,FOXH1,0.55842835,1.5472951
220,Element1250,52.61047,0.0,FOXH1,0.8331912,1.7210722
221,Element1251,64.430504,0.0,FOXH1,1.0203849,1.8090916
222,Element1252,52.88226,0.0,FOXH1,0.8374955,1.72331
223,Element1253,66.05206,0.0,FOXH1,1.0460654,1.8198864
224,Element1254,65.50005,0.0,FOXH1,1.0373234,1.8162416
225,Element1255,60.8505,0.0,FOXH1,0.96368843,1.7842642
226,Element1256,48.77452,0.0,FOXH1,0.7724413,1.6881931
227,Element1257,60.056244,0.0,FOXH1,0.9511098,1.7785581
228,Element1258,66.4719,0.0,FOXH1,1.0527145,1.8226382
229,Element1259,63.356995,0.0,FOXH1,1.0033838,1.8017946
230,Element1260,62.12854,0.0,FOXH1,0.98392874,1.7932912
231,Element1261,69.17894,0.0,FOXH1,1.0955858,1.8399739
232,OR10H2,64.1894,0.0,FOXH1,1.0165665,1.8074633
233,OR10K1,69.59594,0.0,FOXH1,1.1021898,1.8425839
234,OR10V1,64.03663,0.0,FOXH1,1.0141472,1.8064284
235,OR14J1,67.83554,0.0,FOXH1,1.0743104,1.8314574
236,OR2A2,68.18137,0.0,FOXH1,1.0797874,1.8336657
237,FOXH1_P1P2,16.96249,0.0,FOXH1,0.2686347,1.2294897
238,non-targeting,622.1586,504.5408,GATA4,1.0,2.7939012
239,Element1157,577.45575,473.8215,GATA4,0.92814875,2.7615187
240,Element1158,615.57465,478.81256,GATA4,0.9894175,2.7892807
241,Element1159,644.1979,533.69025,GATA4,1.0354239,2.8090193
242,Element1160,638.09094,538.7933,GATA4,1.0256081,2.8048825
243,Element1161,582.09064,470.8098,GATA4,0.93559843,2.7649906
244,Element1162,567.8502,447.0273,GATA4,0.9127097,2.7542338
