,index,x,y,cluster,TGFB,NODAL,FOXO,MAPK
95,SMARCA4_P1P2,-93.08022,23.349968,10,False,False,False,False
96,SMC3_P1P2,29.085663,-93.871635,14,False,False,False,False
97,SNTA1_P1P2,9.353316,2.2956715,15,False,False,False,False
98,SOX10_P1P2,80.006,-56.014484,15,False,False,False,False
99,SOX11_P1P2,-97.379974,24.338945,11,False,False,False,False
100,SOX4_P1,-94.01811,26.398458,18,False,False,False,False
101,TAB2_P1P2,6.8636384,4.49249,15,False,False,False,True
102,TAF5L_P1P2,-30.97418,69.59489,17,False,False,False,False
103,TBX20_P1P2,-74.26117,10.464486,12,False,False,False,False
104,TBX2_P1P2,42.55055,-9.368837,15,False,False,False,False
105,TBX5_P2,-51.519207,43.044296,18,False,False,False,False
106,TCF7_P1P2,83.18188,24.19331,5,False,False,False,False
107,TFAP2C_P1P2,-49.489815,30.889954,13,False,False,False,False
108,TFAP4_P1P2,24.856928,-95.18568,14,False,False,False,False
109,THOC6_P1P2,25.313795,-97.26301,14,False,False,False,False
110,TNNC1_P1P2,71.95488,-41.12853,15,False,False,False,False
111,TNNT2_P1P2,28.712708,-7.887103,15,False,False,False,False
112,TTN_P1,74.518906,-45.754646,15,False,False,False,False
113,TXNL4A_P1P2,25.684027,-101.17288,14,False,False,False,False
114,UBR1_P1P2,53.09809,-19.899036,5,False,False,False,False
115,ZBTB10_P1P2,37.592323,-35.41614,5,False,False,False,False
116,ZBTB12_P1P2,-64.82325,51.380333,13,False,False,False,False
117,ZC3H15_P1P2,-48.331516,44.3157,13,False,False,False,False
118,ZC3H3_P1P2,-69.268845,46.419262,16,False,False,False,False
119,ZEB2_P1,-39.757412,70.56874,17,False,False,False,False
120,ZEB2_P2,-36.2241,72.72971,17,False,False,False,False
121,ZFPM2_P1P2,-49.247856,47.989532,13,False,False,False,False
122,ZIC2_P1P2,-47.647957,33.346066,13,False,False,False,False
123,ZIC5_P1P2,29.494194,-48.079544,15,False,False,False,False
124,ZNF148_P1P2,41.86194,5.2948875,15,False,False,False,False
125,ZNF20_P2,10.875377,-72.12589,14,False,False,False,False
126,ZNF384_P1P2,-92.18721,29.772898,18,False,False,False,False
127,ZNF425_P1P2,71.88865,-65.402214,5,False,False,False,False
128,ZNF436_P1,33.083233,-49.80227,5,False,False,False,False
129,ZNF460_P1P2,-70.80592,24.68429,13,False,False,False,False
130,ZNF649_P1P2,34.532425,-26.492706,15,False,False,False,False
131,ZNF787_P1P2,-90.18741,32.99702,18,False,False,False,False
132,ZNF814_P1P2,39.237926,-18.319496,15,False,False,False,False
133,ZSCAN10_P1P2,-66.59517,-6.4911776,13,False,False,False,False
