,promoter,enhancer,edist,pro_enh_dist,promoter_nontarget_pval,enhancer_nontarget_pval,promoter_nontarget_edist,enhancer_nontarget_edist,total_cell_num,edist_norm,target_name,expression_category,expression_level,expression_level_norm,is_NT
30,AFF4_P1P2,OR14J1,12.60791015625,-1,5.0,-1.0,9.14952392578125,-1.0,3920,1.377985374815384,ACVR2B,normal,66.79433,0.85458505,True
31,AFF4_P1P2,OR2A2,12.4063720703125,-1,5.0,-1.0,9.14952392578125,-1.0,3976,1.3559582084215556,ACVR2B,normal,85.51017,1.0940408,True
32,BNC1_P1P2,Element408,7.37841796875,88325,5.0,1.6088883862971974,13.398583984375,5.125836181640625,2656,0.5506863992011749,BNC1,normal,11.889888,0.79147565,False
33,BNC1_P1P2,Element409,1.870849609375,58976,5.0,5.0,13.398583984375,7.876129150390625,4264,0.13963039762684812,BNC1,normal,12.845839,0.8551105,False
34,BNC1_P1P2,Element410,5.4853515625,503,5.0,3.214670164989233,13.398583984375,6.0802490234375,3608,0.40939785643742965,BNC1,normal,4.5896034,0.3055167,False
35,BNC1_P1P2,Element411,3.4869384765625,76,5.0,5.0,13.398583984375,25.92396240234375,2949,0.2602467903047707,BNC1,normal,2.7381392,0.18227005,False
36,BNC1_P1P2,Element412,10.2518310546875,21303,5.0,5.0,13.398583984375,8.84263916015625,3341,0.7651428738024001,BNC1,normal,4.3033047,0.2864586,False
37,BNC1_P1P2,OR10H2,9.069580078125,-1,5.0,-1.0,13.398583984375,-1.0,2891,0.6769058647317996,ACVR2B,normal,76.72568,0.9816495,True
38,BNC1_P1P2,OR10K1,12.5455322265625,-1,5.0,-1.0,13.398583984375,-1.0,2725,0.9363326931556871,ACVR2B,normal,79.90196,1.0222877,True
39,BNC1_P1P2,OR10V1,12.1883544921875,-1,5.0,-1.0,13.398583984375,-1.0,2654,0.9096748213394169,ACVR2B,normal,80.799446,1.0337704,True
40,BNC1_P1P2,OR14J1,12.2911376953125,-1,5.0,-1.0,13.398583984375,-1.0,2870,0.9173460202694578,ACVR2B,normal,66.79433,0.85458505,True
41,BNC1_P1P2,OR2A2,12.1102294921875,-1,5.0,-1.0,13.398583984375,-1.0,2926,0.9038439812975806,ACVR2B,normal,85.51017,1.0940408,True
42,BPTF_P1P2,Element658,22.1204833984375,107696,5.0,1.2043980201058202,18.956536865234376,2.56580810546875,4083,1.1669053032047056,BPTF,normal,148.90814,0.9546904,False
43,BPTF_P1P2,Element659,7.439697265625,152,5.0,3.1804560644581312,18.956536865234376,3.997357177734375,8702,0.39246078112870625,BPTF,normal,110.28585,0.70707244,False
44,BPTF_P1P2,Element660,20.0267333984375,27650,5.0,1.2391253619478109,18.956536865234376,2.850775146484375,3651,1.0564552766579336,BPTF,normal,153.37045,0.98329943,False
45,BPTF_P1P2,Element661,19.2720947265625,79858,5.0,0.1631317744739056,18.956536865234376,1.03150634765625,3962,1.016646387658858,BPTF,normal,153.74248,0.9856846,False
46,BPTF_P1P2,OR10H2,23.735595703125,-1,5.0,-1.0,18.956536865234376,-1.0,3194,1.2521061136781397,ACVR2B,normal,76.72568,0.9816495,True
47,BPTF_P1P2,OR10K1,21.9410400390625,-1,5.0,-1.0,18.956536865234376,-1.0,3038,1.1574392619836378,ACVR2B,normal,79.90196,1.0222877,True
48,BPTF_P1P2,OR10V1,23.6943359375,-1,5.0,-1.0,18.956536865234376,-1.0,2971,1.2499295681456766,ACVR2B,normal,80.799446,1.0337704,True
49,BPTF_P1P2,OR14J1,22.956298828125,-1,5.0,-1.0,18.956536865234376,-1.0,3171,1.2109964489466452,ACVR2B,normal,66.79433,0.85458505,True
50,BPTF_P1P2,OR2A2,24.0269775390625,-1,5.0,-1.0,18.956536865234376,-1.0,3233,1.267477161565683,ACVR2B,normal,85.51017,1.0940408,True
51,CAMTA2_P1P2,Element529,33.3695068359375,124468,5.0,0.516897900478632,27.978814697265623,1.843157958984375,2191,1.1926704971958197,CAMTA2,normal,13.349676,0.8335488,False
52,CAMTA2_P1P2,Element530,22.2174072265625,123786,5.0,0.2965710454227864,27.978814697265623,1.719482421875,1750,0.7940796444366106,CAMTA2,normal,16.681433,1.0415825,False
53,CAMTA2_P1P2,Element531,26.202392578125,73514,5.0,0.210271258129465,27.978814697265623,1.02828369140625,2958,0.93650831393818,CAMTA2,normal,14.77852,0.92276525,False
54,CAMTA2_P1P2,Element532,22.74755859375,48352,5.0,0.7745356407927881,27.978814697265623,2.267181396484375,2338,0.8130279584707756,CAMTA2,normal,14.985707,0.93570197,False
55,CAMTA2_P1P2,Element533,42.64892578125,42526,5.0,1.6987529113637887,27.978814697265623,3.0425537109375,3472,1.5243292556427737,CAMTA2,normal,14.013127,0.8749744,False
