,gRNA_name,expression,relative_expression,edist,cell_num,target_gene
541,MYRF_-_61522859.23-P2-1,51.37808570418938,0.49312585722454894,25.3675537109375,121,MYRF
542,MYRF_-_61522859.23-P2-2,49.96809754326629,0.47959281855637276,55.523193359375,60,MYRF
543,MYRF_-_61522938.23-P2-1,18.552907435646787,0.17807044108038897,46.755126953125,66,MYRF
544,MYRF_-_61522938.23-P2-2,31.95828539901413,0.3067349954132409,71.895263671875,40,MYRF
545,non-targeting,46.858271606470225,1.0,0.0,20000,NCOA6
546,NCOA6_+_33413243.23-P1P2-1,1.9779636475966493,0.04221162197804006,23.1051025390625,268,NCOA6
547,NCOA6_+_33413243.23-P1P2-2,1.4883123433471404,0.03176199830515373,25.70068359375,154,NCOA6
548,NCOA6_+_33413352.23-P1P2-2,8.342044542913731,0.17802714989090326,74.8837890625,78,NCOA6
549,non-targeting,16.499084635142935,1.0,0.0,20000,NFIL3
550,NFIL3_+_94185871.23-P1P2-2,0.0,0.0,20.6131591796875,57,NFIL3
551,NFIL3_+_94186087.23-P1P2-1,19.436165126131122,1.1780147539053303,30.306396484375,72,NFIL3
552,NFIL3_-_94186119.23-P1P2-1,3.2718659703269464,0.19830590864161607,32.8326416015625,109,NFIL3
553,NFIL3_-_94186119.23-P1P2-2,13.033442458172686,0.789949427279835,30.8375244140625,214,NFIL3
554,non-targeting,46.08462109572429,1.0,0.0,20000,NFX1
555,NFX1_-_33290563.23-P1P2-1,1.3205813907867145,0.02865557661944708,20.432861328125,74,NFX1
556,NFX1_-_33290563.23-P1P2-2,23.9108488923164,0.5188465983619607,52.1646728515625,124,NFX1
557,NFX1_-_33290576.23-P1P2-1,0.0,0.0,33.6239013671875,51,NFX1
558,NFX1_-_33290576.23-P1P2-2,28.62662145880198,0.6211751508022695,33.832763671875,76,NFX1
559,NFX1_-_33290595.23-P1P2-1,6.7178892151081975,0.14577290765077985,82.5657958984375,196,NFX1
560,NFX1_-_33290595.23-P1P2-2,0.0,0.0,17.703369140625,70,NFX1
561,non-targeting,0.20317995076766238,1.0,0.0,20000,NKX2-3
562,NKX2-3_-_101292743.23-P1P2-2,0.0,0.0,65.8983154296875,99,NKX2-3
563,NKX2-3_-_101292756.23-P1P2-1,0.0,0.0,44.4281005859375,91,NKX2-3
564,NKX2-3_-_101292762.23-P1P2-1,0.0,0.0,14.7813720703125,78,NKX2-3
565,NKX2-3_-_101292762.23-P1P2-2,0.0,0.0,26.0421142578125,81,NKX2-3
566,non-targeting,354.983222077135,1.0,0.0,20000,NKX2-5
567,NKX2-5_+_172662157.23-P1P2-1,23.48123158107659,0.06614744055699147,124.8624267578125,247,NKX2-5
568,NKX2-5_+_172662157.23-P1P2-2,54.13010242461626,0.15248636853280415,117.038330078125,70,NKX2-5
569,NKX2-5_-_172662000.23-P1P2-2,44.14377371617353,0.12435453556895554,99.5697021484375,97,NKX2-5
570,NKX2-5_-_172662215.23-P1P2-1,32.3945915086518,0.09125668339787821,141.58740234375,98,NKX2-5
571,non-targeting,0.1189941685879603,1.0,0.0,20000,NKX3-2
572,NKX3-2_+_13546602.23-P1P2-1,0.0,0.0,68.64013671875,46,NKX3-2
573,NKX3-2_+_13546642.23-P1P2-1,0.0,0.0,13.2342529296875,54,NKX3-2
574,NKX3-2_+_13546642.23-P1P2-2,0.0,0.0,9.69482421875,103,NKX3-2
575,NKX3-2_-_13546584.23-P1P2-2,0.0,0.0,79.0157470703125,69,NKX3-2
576,non-targeting,304.18824230982864,1.0,0.0,20000,NONO
577,NONO_+_70503846.23-P1P2-1,42.60707155700369,0.1400681079369484,14.5540771484375,83,NONO
578,NONO_-_70503915.23-P1P2-1,9.37569579532878,0.03082201903707782,42.3509521484375,33,NONO
579,NONO_-_70503915.23-P1P2-2,10.596139916396211,0.03483415347002003,88.9442138671875,42,NONO
580,NONO_-_70503925.23-P1P2-1,45.14294732871349,0.14840464242116722,71.43798828125,32,NONO
581,NONO_-_70503925.23-P1P2-2,32.4822317719843,0.10678332444848335,42.3577880859375,34,NONO
582,non-targeting,50.35498249799275,1.0,0.0,20000,NOTCH2
583,NOTCH2_+_120611566.23-P1P2-2,31.11600660933898,0.6179330240176198,20.3941650390625,91,NOTCH2
