,sgRNA,x,y,cluster
154,THAP2,4.243316,86.88673,24
155,THAP4,20.494955,71.72893,26
156,THRA,-36.223003,1.7004845,26
157,TIGD1,-77.750046,20.972414,27
158,TOPORS,104.28714,27.97206,11
159,TP53,-0.7425618,73.660805,24
160,TULP4,24.399363,-4.162402,27
161,WT1,4.14941,80.2958,24
162,YAP1,112.372055,-31.005888,21
163,YWHAE,104.113716,22.99127,2
164,ZBTB10,23.489769,-20.630632,22
165,ZBTB12,140.01244,5.7817707,2
166,ZC3H15,85.43022,15.808575,2
167,ZC3H3,3.5188425,89.494125,23
168,ZEB1,5.3397884,75.65944,24
169,ZEB2,85.50011,26.251432,11
170,ZFP36L1,-14.686401,-71.32621,26
171,ZFP64,-24.410482,-7.1010647,26
172,ZFPM2,111.43492,-33.756348,2
173,ZIC2,133.48627,-1.7800903,2
174,ZIC5,10.066625,-33.754627,26
175,ZNF148,-67.58892,-45.14907,26
176,ZNF18,-65.03458,-6.344639,26
177,ZNF219,15.087198,-33.904716,27
178,ZNF331,-66.399574,-3.4121847,13
179,ZNF358,9.432611,77.74675,24
180,ZNF384,65.05789,13.128061,2
181,ZNF391,-53.889,15.0894375,13
182,ZNF41,-98.941185,23.386822,13
183,ZNF425,-105.98126,20.809748,13
184,ZNF439,26.520596,3.6107705,27
185,ZNF454,-61.526352,-41.987244,26
186,ZNF460,109.837364,-41.712902,25
187,ZNF462,-24.691021,77.77741,26
188,ZNF496,107.25021,-46.380074,25
189,ZNF503,108.29091,-48.819836,25
190,ZNF518B,-52.302193,-96.02945,20
191,ZNF532,-30.528193,-7.153955,26
192,ZNF541,-19.491503,-60.75675,26
193,ZNF598,-59.93276,-15.0887575,26
194,ZNF608,-25.950274,14.438499,26
195,ZNF649,13.9653425,0.8989558,27
196,ZNF688,-63.718533,-39.16259,26
197,ZNF71,-104.57832,12.888765,13
198,ZNF718,1.9526348,71.96396,24
199,ZNF746,-29.321173,-1.7264432,26
200,ZNF782,23.153923,-0.9934074,27
201,ZNF787,135.35828,1.7887712,8
202,ZNF8,-30.504482,1.475125,26
203,ZNF814,-45.709557,-65.024284,26
204,ZNF844,-22.068777,-61.85337,26
205,ZNF91,-25.107431,-22.911167,26
206,ZSCAN10,139.02678,-17.510958,28
207,ZSCAN20,24.910389,1.5138705,27
208,ZSCAN32,6.3194447,-33.420956,26
