,pval_outlier
FUBP3_-_133454994.23-P1P2-1,1.0
FUBP3_-_133455233.23-P1P2-2,1.0
GABPA_-_27107306.23-P1P2-1,1.0
GABPA_-_27107306.23-P1P2-2,1.0
GAS7_-_10101901.23-ENST00000432992.2-1,1.0
GAS7_-_10101901.23-ENST00000432992.2-2,1.0
GAS7_-_10102003.23-ENST00000432992.2-1,1.0
GAS7_-_10102003.23-ENST00000432992.2-2,1.0
GAS7_-_10102024.23-ENST00000432992.2-1,1.0
GATA1_+_48644985.23-P1P2-1,1.0
GATA1_+_48644985.23-P1P2-2,1.0
GATA1_+_48645031.23-P1P2-1,1.0
GATA1_+_48645031.23-P1P2-2,1.0
GATA1_-_48645022.23-P1P2-1,1.0
GATA1_-_48645022.23-P1P2-2,1.0
GATA2_+_128206722.23-P2-1,0.9707
GATA2_+_128206757.23-P2-1,0.9214
GATA2_+_128206757.23-P2-2,0.3192
GATA2_-_128206683.23-P2-2,0.9707
GATA2_-_128211996.23-P1-1,1.0
GATA2_-_128211996.23-P1-2,1.0
GATA2_-_128212005.23-P1-1,1.0
GATA2_-_128212005.23-P1-2,1.0
GATA2_-_128212022.23-P1-1,1.0
GATA2_-_128212022.23-P1-2,1.0
GATA3_+_8096831.23-P1P2-2,1.0
GATA3_+_8097036.23-P1P2-2,1.0
GATA3_-_8097216.23-P1P2-1,1.0
GATA3_-_8097216.23-P1P2-2,1.0
GATA4_+_11561738.23-P1P2-1,0.9854
GATA4_+_11561738.23-P1P2-2,0.8792
GATA4_-_11561674.23-P1P2-1,0.5649
GATA4_-_11561674.23-P1P2-2,1.0
GATA4_-_11561737.23-P1P2-1,1.0
GATA5_+_61050678.23-P1P2-2,0.7186
GATA5_+_61050681.23-P1P2-1,0.3634
GATA5_-_61050862.23-P1P2-1,0.9366
GATA6_+_19749572.23-P1P2-1,0.7186
GATA6_+_19749608.23-P1P2-1,0.3634
GATA6_+_19749608.23-P1P2-2,0.9948
GATA6_+_19749633.23-P1P2-1,0.3634
GATAD1_+_92076875.23-P1P2-1,0.3634
GATAD1_+_92076875.23-P1P2-2,0.9366
GATAD1_-_92076976.23-P1P2-1,0.3634
GATAD2A_+_19516609.23-P1-1,1.0
GATAD2A_+_19516780.23-P1-1,1.0
GATAD2A_+_19516780.23-P1-2,1.0
GATAD2A_-_19516590.23-P1-1,1.0
GATAD2A_-_19516590.23-P1-2,1.0
GATAD2A_-_19496915.23-P2-1,1.0
GATAD2A_-_19496915.23-P2-2,1.0
GATAD2B_+_153895207.23-P1P2-1,0.5
GATAD2B_+_153895207.23-P1P2-2,0.5
GBX1_+_150864655.23-P1-1,0.9912
GBX1_+_150864655.23-P1-2,0.8266
GBX1_-_150864724.23-P1-2,0.3192
GBX1_-_150864782.23-P1-1,0.9996
GBX1_-_150864782.23-P1-2,0.3192
GBX1_+_150871789.23-P2-2,1.0
GBX1_+_150871802.23-P2-2,1.0
GBX1_+_150871807.23-P2-2,0.9999
GBX2_-_237077008.23-P1P2-1,0.5
GBX2_-_237077008.23-P1P2-2,0.5
GCFC2_+_75937960.23-P1P2-1,0.9214
GCFC2_+_75938004.23-P1P2-1,0.9214
GCFC2_-_75937807.23-P1P2-2,1.0
GCM1_+_53013522.23-P1P2-2,1.0
GCM1_+_53013527.23-P1P2-1,1.0
GCM1_+_53013527.23-P1P2-2,1.0
GCM1_-_53013607.23-P1P2-1,1.0
GCM1_-_53013607.23-P1P2-2,1.0
GCM2_+_10882259.23-P1P2-1,0.9214
GCM2_+_10882259.23-P1P2-2,0.9912
GCM2_-_10882221.23-P1P2-2,0.9996
GFI1B_+_135854178.23-P1P2-1,1.0
GFI1B_+_135854178.23-P1P2-2,1.0
GFI1B_-_135854147.23-P1P2-1,1.0
GFI1B_-_135854147.23-P1P2-2,1.0
GFI1B_-_135854166.23-P1P2-2,1.0
GFI1_+_92949097.23-P2-1,0.9997
GFI1_+_92949097.23-P2-2,1.0
GFI1_+_92949335.23-P2-1,0.9984
GFI1_+_92949335.23-P2-2,0.5649
GFI1_-_92949309.23-P2-1,0.5649
GFI1_-_92949309.23-P2-2,0.9997
GFI1_-_92951555.23-P1-1,1.0
GFI1_-_92951555.23-P1-2,1.0
GFI1_-_92951563.23-P1-1,1.0
GFI1_-_92951563.23-P1-2,1.0
GFI1_-_92951575.23-P1-1,1.0
GFI1_-_92951575.23-P1-2,1.0
GLI1_+_57853583.23-P1P2-1,1.0
GLI1_+_57853583.23-P1P2-2,1.0
GLI1_-_57853581.23-P1P2-2,1.0
GLI1_-_57853592.23-P1P2-1,1.0
GLI2_+_121554939.23-ENST00000361492.4-1,0.7476
GLI2_-_121554890.23-ENST00000361492.4-1,1.0
GLI2_-_121554890.23-ENST00000361492.4-2,0.9964
GLI2_-_121554959.23-ENST00000361492.4-1,0.8209
GLI2_-_121554959.23-ENST00000361492.4-2,1.0
GLI3_-_42276574.23-P1P2-2,0.9996
GLI3_-_42276583.23-P1P2-1,0.9214
GLI3_-_42276583.23-P1P2-2,0.8266
GLI3_-_42276779.23-P1P2-2,0.6808
GLI4_+_144349702.23-P1P2-1,1.0
GLI4_+_144349702.23-P1P2-2,1.0
GLI4_-_144349662.23-P1P2-1,1.0
GLI4_-_144349671.23-P1P2-2,1.0
GLIS1_+_54199697.23-ENST00000312233.2-1,0.9912
GLIS1_+_54199697.23-ENST00000312233.2-2,0.9996
GLIS1_-_54199810.23-ENST00000312233.2-1,0.9707
GLIS1_-_54199810.23-ENST00000312233.2-2,0.3192
GLIS2_+_4384902.23-P1P2-2,1.0
GLIS2_+_4384907.23-P1P2-1,1.0
GLIS2_+_4384907.23-P1P2-2,1.0
GLIS2_+_4385054.23-P1P2-1,1.0
GLIS2_+_4385054.23-P1P2-2,1.0
GLIS3_+_4299832.23-P1P2-2,1.0
GLIS3_+_4299950.23-P1P2-1,1.0
GLIS3_+_4299950.23-P1P2-2,1.0
GLIS3_-_4300080.23-P1P2-1,1.0
GLIS3_-_4300080.23-P1P2-2,1.0
GLYR1_+_4897227.23-P1P2-1,1.0
GLYR1_+_4897227.23-P1P2-2,0.661
GLYR1_+_4897240.23-P1P2-1,0.661
GLYR1_+_4897240.23-P1P2-2,0.9984
GLYR1_+_4897281.23-P1P2-1,1.0
GLYR1_+_4897281.23-P1P2-2,0.7476
GON4L_+_155829080.23-P2-1,1.0
GON4L_+_155829080.23-P2-2,1.0
GON4L_-_155829135.23-P2-1,1.0
GON4L_-_155829135.23-P2-2,1.0
GON4L_-_155829166.23-P2-1,1.0
GON4L_-_155829166.23-P2-2,1.0
GPBP1L1_+_46151934.23-P1P2-1,0.9214
GPBP1L1_+_46151934.23-P1P2-2,0.3192
GPBP1L1_+_46152175.23-P1P2-1,0.9912
GPBP1L1_+_46152175.23-P1P2-2,0.9214
GPBP1L1_-_46152228.23-P1P2-2,0.8266
GPBP1_-_56469901.23-P1P2-2,1.0
GPBP1_-_56470125.23-P1P2-2,1.0
GPBP1_-_56470167.23-P1P2-1,1.0
GPBP1_-_56470167.23-P1P2-2,1.0
GRHL1_+_10091838.23-P1P2-1,1.0
GRHL1_+_10091838.23-P1P2-2,1.0
GRHL1_+_10091891.23-P1P2-2,1.0
GRHL1_-_10091852.23-P1P2-1,1.0
GRHL1_-_10091852.23-P1P2-2,1.0
GRHL2_+_102504892.23-P1P2-1,1.0
GRHL2_+_102505269.23-P1P2-1,1.0
GRHL2_+_102505269.23-P1P2-2,1.0
GRHL2_-_102505460.23-P1P2-1,1.0
GRHL3_+_24645870.23-P1P2-1,1.0
GRHL3_+_24645870.23-P1P2-2,0.7476
GRHL3_-_24645854.23-P1P2-1,0.7476
GRHL3_-_24646453.23-P1P2-1,0.9531
GRHL3_-_24646453.23-P1P2-2,0.9999
GSC2_+_19137625.23-P1P2-1,1.0
GSC2_+_19137625.23-P1P2-2,1.0
GSC2_-_19137442.23-P1P2-1,1.0
GSC2_-_19137442.23-P1P2-2,1.0
GSC2_-_19137766.23-P1P2-2,1.0
GSC_+_95236405.23-P1P2-1,0.9948
GSC_-_95236257.23-P1P2-1,0.3634
GSC_-_95236257.23-P1P2-2,0.3634
GSX1_+_28366688.23-P1P2-1,1.0
GSX1_+_28366688.23-P1P2-2,1.0
GSX1_-_28366657.23-P1P2-1,1.0
GSX1_-_28366657.23-P1P2-2,1.0
GSX1_-_28366894.23-P1P2-1,1.0
GSX1_-_28366894.23-P1P2-2,1.0
GSX2_+_54966348.23-P1P2-2,1.0
GSX2_+_54966389.23-P1P2-2,1.0
GSX2_-_54966406.23-P1P2-1,1.0
GSX2_-_54966406.23-P1P2-2,1.0
GTF2A1L_+_48845027.23-P1P2-1,0.9996
GTF2A1L_-_48845034.23-P1P2-1,0.9707
GTF2A1L_-_48845039.23-P1P2-2,0.9214
GTF2A1_+_81687162.23-P1P2-1,1.0
GTF2A1_+_81687238.23-P1P2-2,1.0
GTF2IRD1_+_73868474.23-P1P2-1,1.0
GTF2IRD1_+_73868568.23-P1P2-1,1.0
GTF2IRD1_-_73868311.23-P1P2-2,1.0
GTF2IRD2B_+_74508425.23-P1P2-2,1.0
GTF2IRD2B_-_74508748.23-P1P2-1,1.0
GTF2IRD2B_-_74508802.23-P1P2-1,1.0
GTF2IRD2_+_74267415.23-ENST00000405086.2-1,0.5
GTF2IRD2_-_74267792.23-ENST00000405086.2-1,0.5
GTF2I_+_74072132.23-P1P2-2,0.3634
GTF2I_-_74072248.23-P1P2-1,0.9366
GTF2I_-_74072248.23-P1P2-2,0.9366
GTF3A_+_27998872.23-P1P2-2,1.0
GTF3A_+_27999253.23-P1P2-1,1.0
GTF3A_+_27999253.23-P1P2-2,1.0
GZF1_+_23342821.23-P1P2-1,1.0
GZF1_+_23342821.23-P1P2-2,1.0
GZF1_-_23342828.23-P1P2-1,1.0
GZF1_-_23342828.23-P1P2-2,1.0
GZF1_-_23342848.23-P1P2-1,1.0
GZF1_-_23342848.23-P1P2-2,1.0
HAND1_+_153857732.23-P1P2-1,0.9707
HAND1_+_153857732.23-P1P2-2,0.5
HAND1_+_153857742.23-P1P2-1,0.9912
HAND1_-_153857359.23-P1P2-1,0.9214
HAND1_-_153857359.23-P1P2-2,0.5
HAND2_+_174450113.23-P2-1,1.0
HAND2_+_174450113.23-P2-2,1.0
HAND2_+_174450135.23-P2-2,1.0
HAND2_-_174450062.23-P2-1,1.0
HAND2_-_174450062.23-P2-2,1.0
HAND2_-_174450908.23-P1-1,0.8209
HAND2_-_174450908.23-P1-2,1.0
HAND2_-_174451307.23-P1-1,1.0
HAND2_-_174451307.23-P1-2,0.9926
HAND2_-_174451323.23-P1-1,0.9731
HBP1_-_106809460.23-P1P2-1,1.0
HBP1_-_106809460.23-P1P2-2,1.0
HBP1_-_106809480.23-P1P2-1,1.0
HBP1_-_106809480.23-P1P2-2,1.0
HBP1_-_106809490.23-P1P2-1,1.0
HBP1_-_106809490.23-P1P2-2,1.0
HCFC1_+_153236616.23-P1P2-1,1.0
HCFC1_+_153236616.23-P1P2-2,1.0
HCFC1_+_153237061.23-P1P2-1,1.0
HCLS1_+_121379681.23-P1P2-1,0.9993
HCLS1_+_121379681.23-P1P2-2,1.0
HCLS1_+_121379696.23-P1P2-2,0.9997
HCLS1_+_121379711.23-P1P2-1,0.4649
HCLS1_+_121379711.23-P1P2-2,0.9926
HDAC1_-_32757786.23-P1P2-1,1.0
HDAC1_-_32757786.23-P1P2-2,1.0
HDAC1_-_32758125.23-P1P2-2,1.0
HDAC4_+_240322691.23-P1P2-1,1.0
HDAC4_+_240322691.23-P1P2-2,0.7476
HDAC4_+_240323117.23-P1P2-2,0.9926
HDAC4_-_240323058.23-P1P2-1,0.9984
HDAC5_+_42200939.23-P1P2-2,0.661
HDAC5_+_42200956.23-P1P2-1,1.0
HDAC5_+_42200956.23-P1P2-2,0.9854
HDAC5_-_42200801.23-P1P2-2,1.0
HDX_+_83757441.23-P1P2-1,1.0
HDX_+_83757441.23-P1P2-2,0.367
HDX_-_83757396.23-P1P2-1,0.9999
HDX_-_83757396.23-P1P2-2,1.0
HELT_+_185940054.23-P1P2-1,0.6808
HELT_+_185940054.23-P1P2-2,0.8266
HELT_-_185939984.23-P1P2-1,0.9979
HELT_-_185940013.23-P1P2-1,0.6808
HELT_-_185940013.23-P1P2-2,0.3192
HELZ2_+_62195408.23-P2-2,0.9997
HELZ2_-_62195084.23-P2-1,0.661
HELZ2_-_62195084.23-P2-2,1.0
HELZ2_-_62195403.23-P2-1,1.0
HELZ2_-_62195403.23-P2-2,0.661
HELZ2_+_62205398.23-P1-2,0.8266
HELZ2_+_62205554.23-P1-1,1.0
HELZ2_+_62205554.23-P1-2,0.9214
HELZ2_+_62205567.23-P1-1,0.8266
HELZ2_+_62205567.23-P1-2,0.8266
HES2_+_6484725.23-P2-2,0.3634
HES2_-_6484673.23-P2-1,0.9366
HES2_-_6484682.23-P2-1,0.9948
HES2_-_6479923.23-P1-1,1.0
HES2_-_6479923.23-P1-2,1.0
HES2_-_6479932.23-P1-1,1.0
HES2_-_6479932.23-P1-2,1.0
HES2_-_6479951.23-P1-1,1.0
HES2_-_6479951.23-P1-2,1.0
HES3_-_6304301.23-P1P2-1,0.9984
HES3_-_6304307.23-P1P2-1,0.9531
HES3_-_6304307.23-P1P2-2,0.9993
HES3_-_6304325.23-P1P2-2,1.0
HES4_+_935446.23-P1P2-1,0.9214
HES4_-_935454.23-P1P2-1,1.0
HES4_-_935454.23-P1P2-2,0.8266
HES5_-_2461511.23-P1P2-1,0.5
HES5_-_2461619.23-P1P2-1,0.5
HES5_-_2461619.23-P1P2-2,0.5
HES6_+_239148657.23-P1P2-2,1.0
HES6_+_239148961.23-P1P2-1,0.9731
HES6_+_239148961.23-P1P2-2,0.9854
HES6_-_239148791.23-P1P2-1,0.661
HES6_-_239148791.23-P1P2-2,0.8209
HES7_+_8027344.23-P1P2-2,1.0
HES7_+_8027389.23-P1P2-1,1.0
HES7_+_8027389.23-P1P2-2,1.0
HES7_+_8027406.23-P1P2-1,1.0
HES7_+_8027406.23-P1P2-2,1.0
HESX1_+_57233994.23-P1-1,1.0
HESX1_+_57233994.23-P1-2,1.0
HESX1_-_57233939.23-P1-1,1.0
HESX1_-_57233939.23-P1-2,1.0
HESX1_-_57233955.23-P1-1,1.0
HESX1_-_57233955.23-P1-2,1.0
HESX1_-_57260352.23-P2-1,1.0
HESX1_-_57260352.23-P2-2,1.0
HESX1_-_57260371.23-P2-1,1.0
HESX1_-_57260371.23-P2-2,1.0
HESX1_-_57260395.23-P2-1,1.0
HESX1_-_57260395.23-P2-2,1.0
HEY1_-_80679962.23-P1P2-1,0.5
HEY2_+_126070784.23-P1P2-1,1.0
HEY2_+_126070784.23-P1P2-2,1.0
HEY2_+_126070806.23-P1P2-1,1.0
HEY2_+_126070806.23-P1P2-2,1.0
HEY2_-_126070791.23-P1P2-1,1.0
HEY2_-_126070791.23-P1P2-2,1.0
HEYL_+_40105112.23-P1P2-1,0.3192
HEYL_+_40105112.23-P1P2-2,0.8266
HEYL_-_40105268.23-P1P2-1,0.9707
HEYL_-_40105268.23-P1P2-2,0.9979
HHEX_+_94449788.23-P1P2-1,1.0
HHEX_+_94449788.23-P1P2-2,1.0
HHEX_-_94449724.23-P1P2-1,1.0
HIC1_+_1958482.23-P1P2-1,0.661
HIC1_+_1958482.23-P1P2-2,0.8209
HIC1_-_1958420.23-P1P2-1,1.0
HIC1_-_1958420.23-P1P2-2,0.8209
HIC1_-_1958449.23-P1P2-1,1.0
HIC1_-_1958449.23-P1P2-2,0.8209
HIC2_+_21775421.23-P2-1,1.0
HIC2_+_21775425.23-P2-1,1.0
HIC2_+_21775425.23-P2-2,1.0
HIC2_-_21775458.23-P2-1,1.0
HIC2_-_21775458.23-P2-2,1.0
HIF1A_+_62162270.23-P1P2-1,0.9996
HIF1A_+_62162270.23-P1P2-2,0.9707
HIF1A_+_62162306.23-P1P2-1,0.6808
HIF1A_-_62162262.23-P1P2-2,0.8266
HIF3A_+_46800496.23-P2-1,1.0
HIF3A_-_46800372.23-P2-1,1.0
HIF3A_-_46800375.23-P2-1,1.0
HIF3A_-_46800375.23-P2-2,1.0
HIF3A_+_46801667.23-P1-1,1.0
HIF3A_+_46801667.23-P1-2,1.0
HIF3A_+_46801679.23-P1-1,0.9999
HIRA_+_19435194.23-P1-2,1.0
HIRA_+_19435207.23-P1-1,1.0
HIRA_-_19435156.23-P1-1,1.0
HIRA_-_19435156.23-P1-2,1.0
HIVEP1_+_12011983.23-P1P2-1,1.0
HIVEP1_+_12012264.23-P1P2-2,1.0
HIVEP2_+_143266134.23-P1P2-1,1.0
HIVEP2_+_143266134.23-P1P2-2,1.0
HIVEP2_-_143266244.23-P1P2-2,1.0
"HIVEP3_+_42166553.23-ENST00000247584.5,ENST00000429157.2-1",1.0
"HIVEP3_+_42166553.23-ENST00000247584.5,ENST00000429157.2-2",1.0
"HIVEP3_-_42166431.23-ENST00000247584.5,ENST00000429157.2-1",1.0
"HIVEP3_-_42166431.23-ENST00000247584.5,ENST00000429157.2-2",1.0
"HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2-1",1.0
"HIVEP3_-_42166661.23-ENST00000247584.5,ENST00000429157.2-2",1.0
HIVEP3_+_42384334.23-ENST00000372583.1-2,0.9707
HIVEP3_-_42383930.23-ENST00000372583.1-1,0.9996
HIVEP3_-_42384343.23-ENST00000372583.1-1,0.9979
HIVEP3_-_42384343.23-ENST00000372583.1-2,0.6808
HIVEP3_+_42384544.23-ENST00000372584.1-1,1.0
HIVEP3_+_42384554.23-ENST00000372584.1-1,1.0
HIVEP3_+_42384554.23-ENST00000372584.1-2,1.0
HKR1_+_37808883.23-P1-1,1.0
HKR1_+_37808883.23-P1-2,0.9999
HKR1_-_37808809.23-P1-1,0.9993
HKR1_-_37808843.23-P1-1,0.8792
HKR1_+_37825600.23-P2-2,0.9999
HKR1_+_37825603.23-P2-1,0.8266
HKR1_-_37825613.23-P2-1,0.9707
HLF_+_53342379.23-P1-1,1.0
HLF_+_53342379.23-P1-2,1.0
HLF_+_53342441.23-P1-2,0.9227
HLF_-_53342349.23-P1-1,0.9997
HLF_+_53345003.23-P2-1,1.0
HLF_+_53345003.23-P2-2,0.8209
HLF_-_53345055.23-P2-1,0.9993
HLF_-_53345193.23-P2-1,0.9926
HLF_-_53345193.23-P2-2,0.9964
HLTF_+_148803913.23-P1P2-1,0.5649
HLTF_+_148803913.23-P1P2-2,0.367
HLTF_+_148804281.23-P1P2-1,1.0
HLTF_+_148804281.23-P1P2-2,0.9993
HLTF_-_148804265.23-P1P2-1,1.0
HLX_+_221053023.23-P1P2-1,0.9227
HLX_+_221053023.23-P1P2-2,1.0
HLX_+_221053029.23-P1P2-1,0.9993
HLX_+_221053029.23-P1P2-2,0.367
HLX_+_221053243.23-P1P2-1,0.9227
HLX_+_221053243.23-P1P2-2,0.9984
HMBOX1_+_28748118.23-P1P2-1,1.0
HMBOX1_+_28748118.23-P1P2-2,1.0
HMBOX1_+_28748129.23-P1P2-2,1.0
HMBOX1_-_28748195.23-P1P2-1,1.0
HMBOX1_-_28748195.23-P1P2-2,1.0
HMG20A_-_77713273.23-P1P2-1,1.0
HMG20A_-_77713273.23-P1P2-2,1.0
HMG20A_-_77713295.23-P1P2-2,1.0
HMG20A_-_77713468.23-P1P2-1,1.0
HMG20A_-_77713468.23-P1P2-2,1.0
HMG20B_+_3573002.23-P1-1,0.9731
HMG20B_+_3573002.23-P1-2,0.7476
HMG20B_+_3573017.23-P1-1,1.0
HMG20B_+_3573017.23-P1-2,0.9227
HMG20B_-_3573204.23-P1-1,0.8792
HMG20B_-_3574396.23-P2-1,1.0
HMG20B_-_3574408.23-P2-2,1.0
HMG20B_-_3574459.23-P2-1,0.7476
HMG20B_-_3574459.23-P2-2,0.9926
HMGA1_+_34204661.23-P1P2-1,0.9979
HMGA1_+_34204661.23-P1P2-2,0.3192
HMGA1_-_34204692.23-P1P2-1,0.3192
HMGA1_-_34204861.23-P1P2-1,1.0
HMGA1_-_34204861.23-P1P2-2,0.6808
HMGA2_+_66218840.23-P1P2-2,1.0
HMGA2_+_66218958.23-P1P2-1,1.0
HMGA2_+_66218958.23-P1P2-2,1.0
HMGA2_-_66218885.23-P1P2-1,1.0
HMGA2_-_66218885.23-P1P2-2,1.0
HMGB1_+_31039909.23-P1-2,0.9214
HMGB1_-_31039806.23-P1-1,0.9707
HMGB1_-_31040100.23-P1-1,0.9912
HMGB1_-_31040100.23-P1-2,0.8266
HMGB1_-_31191447.23-P2-1,0.7186
HMGB1_-_31191681.23-P2-1,0.7186
HMGB1_-_31191681.23-P2-2,0.7186
HMGB2_+_174255529.23-P1P2-1,0.6808
HMGB2_+_174255529.23-P1P2-2,0.9999
HMGB2_-_174255470.23-P1P2-1,0.9979
HMGB3_+_150151953.23-P1P2-2,1.0
HMGB3_-_150152195.23-P1P2-1,1.0
HMGB3_-_150152195.23-P1P2-2,1.0
HMGB4_+_34329660.23-P1P2-1,1.0
HMGB4_+_34329660.23-P1P2-2,1.0
HMGB4_+_34329892.23-P1P2-1,1.0
HMGB4_+_34329892.23-P1P2-2,1.0
HMGB4_-_34329734.23-P1P2-1,1.0
HMGB4_-_34329734.23-P1P2-2,1.0
HMGN2_-_26799202.23-P1P2-1,1.0
HMGN2_-_26799202.23-P1P2-2,1.0
HMGN2_-_26799315.23-P1P2-1,1.0
HMGN2_-_26799315.23-P1P2-2,1.0
HMGN3_+_79944392.23-P1P2-1,1.0
HMGN3_+_79944392.23-P1P2-2,1.0
HMGN3_+_79944440.23-P1P2-2,1.0
HMGN3_-_79944391.23-P1P2-1,1.0
HMGN3_-_79944391.23-P1P2-2,1.0
HMGXB3_+_149380294.23-P1P2-1,1.0
HMGXB3_+_149380294.23-P1P2-2,1.0
HMGXB3_+_149380304.23-P1P2-1,1.0
HMGXB3_+_149380346.23-P1P2-2,1.0
HMGXB4_+_35653540.23-P1P2-1,1.0
HMGXB4_+_35653540.23-P1P2-2,1.0
HMGXB4_-_35653516.23-P1P2-2,0.9731
HMGXB4_-_35653556.23-P1P2-1,0.9993
HMGXB4_-_35653556.23-P1P2-2,0.4649
HMX1_+_8873528.23-P1P2-1,1.0
HMX1_+_8873559.23-P1P2-1,1.0
HMX1_+_8873559.23-P1P2-2,1.0
HMX1_+_8873571.23-P1P2-1,1.0
HMX1_+_8873571.23-P1P2-2,1.0
HMX2_+_124907712.23-P1P2-1,0.6808
HMX2_+_124907712.23-P1P2-2,1.0
HMX2_-_124907698.23-P1P2-2,0.8266
HMX2_-_124907719.23-P1P2-1,0.9214
HMX3_+_124895716.23-P1P2-1,0.5
HMX3_-_124895584.23-P1P2-2,0.5
HNF1A_+_121416374.23-P1P2-1,1.0
HNF1A_-_121416373.23-P1P2-1,1.0
HNF1A_-_121416373.23-P1P2-2,1.0
HNF1A_-_121416630.23-P1P2-1,1.0
HNF1A_-_121416630.23-P1P2-2,1.0
HNF1B_+_36104978.23-P1P2-1,1.0
HNF1B_+_36104978.23-P1P2-2,1.0
HNF1B_+_36104986.23-P1P2-1,1.0
HNF1B_+_36104986.23-P1P2-2,1.0
HNF1B_-_36105012.23-P1P2-1,1.0
HNF4A_+_43029956.23-P1P2-1,1.0
HNF4A_+_43029956.23-P1P2-2,1.0
HNF4A_-_43029982.23-P1P2-1,1.0
HNF4A_-_43029982.23-P1P2-2,1.0
HNF4A_-_43030137.23-P1P2-1,1.0
HNF4A_-_43030137.23-P1P2-2,1.0
HNF4G_+_76320133.23-P1-2,0.5
HNF4G_-_76320305.23-P1-1,0.5
HNF4G_-_76452161.23-P2-1,0.9964
HNF4G_-_76452161.23-P2-2,0.9999
HNF4G_-_76452236.23-P2-2,1.0
HNF4G_-_76452315.23-P2-1,0.9993
HOMEZ_+_23755273.23-P1P2-2,1.0
HOMEZ_+_23755304.23-P1P2-1,1.0
HOMEZ_+_23755304.23-P1P2-2,1.0
HOMEZ_-_23755088.23-P1P2-1,1.0
HOMEZ_-_23755088.23-P1P2-2,1.0
HOPX_+_57522132.23-P2-2,0.9999
HOPX_-_57521972.23-P2-2,0.8792
HOPX_-_57522185.23-P2-1,0.9997
HOPX_-_57522185.23-P2-2,0.9984
HOPX_+_57546961.23-P1-1,1.0
HOPX_+_57546961.23-P1-2,1.0
HOPX_-_57547423.23-P1-1,1.0
HOPX_-_57547423.23-P1-2,1.0
HOPX_-_57547429.23-P1-1,1.0
HOPX_-_57547429.23-P1-2,1.0
HOXA10_+_27213641.23-P1P2-1,1.0
HOXA10_+_27213641.23-P1P2-2,1.0
HOXA10_-_27213711.23-P1P2-1,1.0
HOXA10_-_27213711.23-P1P2-2,1.0
HOXA11_+_27224824.23-P1P2-1,0.9707
HOXA11_+_27224824.23-P1P2-2,0.9707
HOXA11_-_27224609.23-P1P2-2,0.9979
HOXA11_-_27224660.23-P1P2-2,0.9999
HOXA13_-_27239669.23-P1P2-1,0.7186
HOXA13_-_27239669.23-P1P2-2,0.3634
HOXA13_-_27239672.23-P1P2-1,0.7186
HOXA13_-_27239672.23-P1P2-2,0.3634
HOXA1_+_27135560.23-P1P2-1,0.7476
HOXA1_+_27135560.23-P1P2-2,0.9999
HOXA1_+_27135590.23-P1P2-1,0.8792
HOXA1_+_27135590.23-P1P2-2,1.0
HOXA1_-_27135378.23-P1P2-1,0.9997
HOXA2_+_27142273.23-P1P2-1,1.0
HOXA2_+_27142273.23-P1P2-2,1.0
HOXA2_-_27142244.23-P1P2-1,1.0
HOXA2_-_27142244.23-P1P2-2,1.0
HOXA2_-_27142282.23-P1P2-1,1.0
HOXA3_+_27153388.23-P2-1,0.9979
HOXA3_+_27153388.23-P2-2,0.5
HOXA3_+_27153422.23-P2-2,0.8266
HOXA3_-_27153454.23-P2-1,0.6808
HOXA3_-_27153454.23-P2-2,0.9979
HOXA3_-_27192158.23-P1-1,0.9999
HOXA3_-_27192158.23-P1-2,1.0
HOXA3_-_27192175.23-P1-1,0.9926
HOXA3_-_27192175.23-P1-2,1.0
HOXA4_-_27169626.23-P1P2-1,1.0
HOXA4_-_27169626.23-P1P2-2,0.9997
HOXA4_-_27170140.23-P1P2-2,1.0
HOXA4_-_27170301.23-P1P2-1,0.8209
HOXA4_-_27170301.23-P1P2-2,0.4649
HOXA5_+_27183074.23-P1P2-1,1.0
HOXA5_+_27183089.23-P1P2-1,1.0
HOXA5_+_27183089.23-P1P2-2,1.0
HOXA5_+_27183098.23-P1P2-1,1.0
HOXA5_+_27183098.23-P1P2-2,1.0
HOXA6_+_27190488.23-P1P2-1,1.0
HOXA6_+_27190488.23-P1P2-2,1.0
HOXA6_-_27190360.23-P1P2-1,1.0
HOXA6_-_27190360.23-P1P2-2,1.0
HOXA6_-_27190582.23-P1P2-1,1.0
HOXA7_+_27196037.23-P1P2-2,1.0
HOXA7_+_27196242.23-P1P2-1,1.0
HOXA7_+_27196242.23-P1P2-2,1.0
HOXA7_+_27196303.23-P1P2-1,1.0
HOXA7_+_27196303.23-P1P2-2,1.0
HOXA9_+_27205072.23-P1P2-1,1.0
HOXA9_+_27205072.23-P1P2-2,1.0
HOXA9_+_27205109.23-P1P2-1,1.0
HOXA9_+_27205109.23-P1P2-2,1.0
HOXA9_-_27204908.23-P1P2-1,1.0
HOXB13_+_46806019.23-P1P2-1,0.4649
HOXB13_+_46806019.23-P1P2-2,1.0
HOXB13_-_46805837.23-P1P2-1,0.9731
HOXB13_-_46805837.23-P1P2-2,1.0
HOXB13_-_46806002.23-P1P2-1,0.367
HOXB13_-_46806002.23-P1P2-2,0.5649
HOXB1_+_46608315.23-P1P2-1,0.5
HOXB1_+_46608315.23-P1P2-2,0.5
HOXB1_-_46608289.23-P1P2-2,0.9912
HOXB1_-_46608301.23-P1P2-1,0.9996
