,pval_outlier
ARID1B_-_157100302.23-P2-2,0.9996
ARID1B_-_157100305.23-P2-1,0.5
ARID2_+_46123494.23-P1P2-1,1.0
ARID2_-_46123531.23-P1P2-1,1.0
ARID2_-_46123531.23-P1P2-2,1.0
ARID2_-_46123742.23-P1P2-2,1.0
ARID3A_-_926022.23-P1P2-2,0.5
ARID3A_-_926435.23-P1P2-1,0.5
ARID3B_-_74833690.23-P1P2-1,1.0
ARID3B_-_74833690.23-P1P2-2,1.0
ARID3B_-_74833855.23-P1P2-1,1.0
ARID3B_-_74833855.23-P1P2-2,1.0
ARID3B_-_74833936.23-P1P2-1,1.0
ARID3B_-_74833936.23-P1P2-2,1.0
ARID4A_+_58765485.23-P1P2-1,0.9366
ARID4A_-_58765292.23-P1P2-1,0.7186
ARID4A_-_58765301.23-P1P2-2,0.3634
ARID4B_+_235491249.23-P1P2-1,1.0
ARID4B_+_235491249.23-P1P2-2,1.0
ARID4B_+_235491464.23-P1P2-2,1.0
ARID4B_-_235491110.23-P1P2-1,1.0
ARID4B_-_235491110.23-P1P2-2,1.0
ARID5A_+_97202561.23-P1P2-1,0.9979
ARID5A_+_97202561.23-P1P2-2,0.3192
ARID5A_-_97202536.23-P1P2-1,0.9912
ARID5A_-_97202536.23-P1P2-2,0.5
ARID5A_-_97202539.23-P1P2-2,0.9214
ARID5B_+_63661169.23-ENST00000279873.7-2,1.0
ARID5B_+_63661180.23-ENST00000279873.7-1,1.0
ARID5B_+_63661180.23-ENST00000279873.7-2,1.0
ARID5B_-_63660959.23-ENST00000279873.7-2,1.0
ARNT2_+_80697077.23-P1P2-1,0.7186
ARNT2_+_80697077.23-P1P2-2,0.9366
ARNT2_-_80696751.23-P1P2-2,0.3634
ARNTL2_+_27485837.23-P1P2-1,1.0
ARNTL2_+_27485837.23-P1P2-2,1.0
ARNTL2_-_27485854.23-P1P2-1,1.0
ARNTL2_-_27485887.23-P1P2-1,0.7476
ARNTL_+_13299385.23-P1P2-1,1.0
ARNTL_-_13299358.23-P1P2-1,1.0
ARNTL_-_13299358.23-P1P2-2,1.0
ARNT_+_150849006.23-P1P2-1,0.9366
ARNT_+_150849017.23-P1P2-1,0.3634
ARNT_+_150849017.23-P1P2-2,0.7186
ARX_+_25030981.23-P2-2,1.0
ARX_-_25031175.23-P2-1,1.0
ARX_-_25031175.23-P2-2,1.0
ARX_+_25033828.23-P1-1,1.0
ARX_+_25033828.23-P1-2,1.0
ARX_+_25033832.23-P1-1,0.367
ARX_+_25033832.23-P1-2,0.9731
ARX_+_25034044.23-P1-1,1.0
ARX_+_25034044.23-P1-2,0.8209
AR_+_66764242.23-P1P2-2,0.5
AR_-_66763912.23-P1P2-2,0.5
ASCL1_-_103351482.23-P1P2-2,1.0
ASCL1_-_103351499.23-P1P2-1,1.0
ASCL1_-_103351499.23-P1P2-2,1.0
ASCL2_+_2292175.23-P1P2-1,1.0
ASCL2_+_2292175.23-P1P2-2,0.8792
ASCL2_-_2292271.23-P1P2-1,0.9227
ASCL2_-_2292271.23-P1P2-2,1.0
ASCL3_+_8964531.23-P1P2-1,1.0
ASCL3_+_8964531.23-P1P2-2,1.0
ASCL3_-_8964516.23-P1P2-1,1.0
ASCL4_+_108168471.23-ENST00000342331.4-2,0.6808
ASCL4_-_108168443.23-ENST00000342331.4-1,0.9214
ASCL4_-_108168443.23-ENST00000342331.4-2,0.9912
ASCL4_-_108168588.23-ENST00000342331.4-1,0.6808
ASCL5_+_201096314.23-P1P2-1,1.0
ASCL5_+_201096340.23-P1P2-2,0.661
ASCL5_-_201096292.23-P1P2-1,1.0
ASCL5_-_201096292.23-P1P2-2,0.9984
ASH1L_+_155532488.23-P1P2-1,0.9979
ASH1L_+_155532488.23-P1P2-2,0.6808
ASH1L_+_155532501.23-P1P2-1,0.3192
ASH1L_+_155532501.23-P1P2-2,0.9999
ASH1L_+_155532507.23-P1P2-2,0.6808
ATF1_-_51157890.23-P1P2-1,1.0
ATF1_-_51157911.23-P1P2-1,1.0
ATF1_-_51157911.23-P1P2-2,1.0
ATF1_-_51158152.23-P1P2-2,1.0
ATF2_+_176032892.23-P1P2-2,0.9996
ATF2_-_176032440.23-P1P2-1,0.6808
ATF2_-_176032440.23-P1P2-2,0.9979
ATF3_+_212782100.23-P1P2-1,1.0
ATF3_+_212782164.23-P1P2-1,1.0
ATF3_+_212782164.23-P1P2-2,1.0
ATF3_+_212782184.23-P1P2-1,1.0
ATF3_+_212782184.23-P1P2-2,1.0
ATF4_-_39916327.23-P1P2-1,1.0
ATF4_-_39916327.23-P1P2-2,1.0
ATF4_-_39916548.23-P1P2-1,1.0
ATF4_-_39916548.23-P1P2-2,1.0
ATF4_-_39916853.23-P1P2-1,1.0
ATF4_-_39916853.23-P1P2-2,1.0
ATF6B_+_32095596.23-P1P2-2,0.5
ATF6B_+_32095745.23-P1P2-2,0.5
ATF6_+_161736292.23-P1P2-2,1.0
ATF6_+_161736303.23-P1P2-1,1.0
ATF6_+_161736303.23-P1P2-2,1.0
ATF6_-_161736215.23-P1P2-1,1.0
ATF6_-_161736215.23-P1P2-2,1.0
ATF7_+_54019710.23-P1P2-2,0.9996
ATF7_+_54019716.23-P1P2-1,0.5
ATF7_+_54019716.23-P1P2-2,0.9979
ATF7_+_54020103.23-P1P2-1,0.3192
ATF7_+_54020103.23-P1P2-2,0.9214
ATMIN_+_81069685.23-P1P2-1,1.0
ATMIN_+_81069786.23-P1P2-1,1.0
ATN1_+_7036957.23-P1P2-1,1.0
ATN1_+_7036968.23-P1P2-1,1.0
ATN1_+_7036968.23-P1P2-2,1.0
